Data da Venda,Nome do Produto,Categoria do Produto,Preço Unitário do Produto,Custo de Produção Unitário,Quantidade Vendida,Nome do Funcionário,Região do Fast Food,Tempo de Atendimento (min),Tipo de Atendimento,Nome do Cliente,Idade do Cliente,Gênero do Cliente,Email do Cliente,Valor Total de Venda,Custo Total de Produção,Lucro,Horário do Pedido,Estado
03/02/2022, Refrigerante  ,,4.99,1,2,Casey Young,Sul,11,Delivery,Patricia Wilkerson,44,Masculino,susanzavala@salinas.biz,9.98,2,7.98,Noite,Texas (TX)
05/18/2022, Refrigerante  ,,4.99,1,2,Jennifer Wilkins,Sul,15,Delivery,Hayley Smith,20,Feminino,huffjerry@hotmail.com,9.98,2,7.98,Noite,Texas (TX)
01/23/2022, Sundae  ,,7.99,3,3,Kevin Rodriguez,Leste,6,Balcão,Meghan Curry,47,Feminino,joeking@ellis.net,23.97,9,14.97,Noite,Florida (FL)
12/24/2021, Batata Frita  ,,9.99,3,2,Charles Williams,Sul,10,Delivery,Kyle Lowery,64,Feminino,hollowaydavid@hotmail.com,19.98,6,13.98,Noite,Texas (TX)
05/21/2022, Batata Frita  ,Acompanhamento ,9.99,3,5,Gabrielle Jordan,Centro,5,Balcão,Charles Campbell,65,Feminino,willisrebecca@hanson.com,49.95,15,34.95,Noite,Illinois (IL)
02/27/2023, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,3,Thomas Wolfe,Norte,5,Delivery,Christina Mccarthy,27,Feminino,jonessarah@hammond-gardner.biz,59.97,30,29.97,Noite,New York (NY)
07/15/2022, Batata Frita  ,Acompanhamento ,9.99,3,6,Sonya Cline,Oeste,7,Drive-Thru,Paula Williams,25,Feminino,roy60@hotmail.com,59.94,18,41.94,Noite,California (CA)
09/26/2022, Milkshake  ,Sobremesa ,10.99,5,1,Peggy Lawrence,Norte,14,Delivery,Paul Singleton,18,Masculino,churchkaren@jordan-ashley.net,10.99,5,5.99,Noite,New York (NY)
04/22/2022, Batata Frita  ,Acompanhamento ,9.99,3,4,Frank Curtis,Sul,6,Delivery,Jerome Santos PhD,22,Feminino,vsummers@gmail.com,39.96,12,27.96,Noite,Texas (TX)
04/09/2023, Sundae  ,Sobremesa ,7.99,3,2,Jeffery Smith,Oeste,2,Drive-Thru,Valerie Anderson,50,Feminino,brownjoseph@gmail.com,15.98,6,9.98,Noite,California (CA)
09/06/2022, Sundae  ,Sobremesa ,7.99,3,4,Holly Wise,Leste,9,Balcão,Sean Reese,35,Masculino,meyerann@gmail.com,31.96,12,19.96,Noite,Florida (FL)
03/10/2023, Milkshake  ,Sobremesa ,10.99,5,8,Mary Rivera,Norte,2,Drive-Thru,Kent Rivera,36,Masculino,jacob62@moody.com,87.92,40,47.92,Noite,New York (NY)
10/29/2021, Milkshake  ,Sobremesa ,10.99,5,2,Patricia Yates,Centro,1,Delivery,Kristopher Boyd,21,Feminino,vraymond@yahoo.com,21.98,10,11.98,Noite,Illinois (IL)
09/18/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,3,Michael Potter,Sul,15,Delivery,Bonnie Phillips,45,Feminino,jsanchez@hotmail.com,44.97,21,23.97,Noite,Texas (TX)
04/05/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,3,Douglas Foster,Sul,2,Balcão,Jesse Miller,22,Feminino,mwilkins@boone.biz,44.97,21,23.97,Noite,Texas (TX)
05/18/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,4,Emily Pierce,Oeste,1,Delivery,Vanessa Moore,49,Feminino,michellerivera@franklin.com,59.96,28,31.96,Noite,California (CA)
09/07/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,9,Jason Clark,Sul,10,Delivery,Albert Wheeler,38,Masculino,justin67@hotmail.com,134.91,63,71.91,Noite,Texas (TX)
12/26/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,10,Katie King,Norte,9,Delivery,Mark Gardner,69,Masculino,joycerose@dennis-rowland.com,199.9,100,99.89999999999998,Noite,New York (NY)
05/14/2022, Refrigerante  ,Bebida ,4.99,1,2,Mrs. Cassandra White,Leste,12,Drive-Thru,Nicole Jones,32,Feminino,gutierrezbrittany@martin.net,9.98,2,7.98,Noite,Florida (FL)
06/15/2022, Sundae  ,Sobremesa ,7.99,3,5,Sylvia Carter,Sul,12,Drive-Thru,Kaylee Andrade,26,Masculino,brianestes@smith-ortega.net,39.95,15,24.950000000000003,Noite,Texas (TX)
08/28/2023, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,9,Leslie Cooper,Sul,1,Balcão,Katrina Rhodes,29,Masculino,nealtimothy@campbell-boyle.com,179.91,90,89.91,Noite,Texas (TX)
11/22/2021, Milkshake  ,Sobremesa ,10.99,5,5,Joe Travis,Oeste,13,Delivery,Jennifer Flynn,57,Feminino,newmaneddie@gmail.com,54.95,25,29.950000000000003,Noite,California (CA)
03/09/2022, Sundae  ,Sobremesa ,7.99,3,2,Nancy Ward,Centro,15,Drive-Thru,Lisa Valdez,57,Feminino,mbarry@jones.com,15.98,6,9.98,Noite,Illinois (IL)
03/07/2023, Milkshake  ,Sobremesa ,10.99,5,9,Justin Tucker,Oeste,8,Balcão,Peggy Flowers,50,Feminino,patrickjenkins@phelps.com,98.91,45,53.91,Noite,California (CA)
07/15/2023, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,7,Richard Johnson,Norte,12,Drive-Thru,Mr. Edward Mueller,61,Feminino,hollyhunter@yahoo.com,139.92999999999998,70,69.92999999999998,Noite,New York (NY)
04/26/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,5,Alyssa Webb,Oeste,12,Drive-Thru,Sandra Owens,30,Feminino,jennifer02@gonzalez-johnson.com,74.95,35,39.95,Noite,California (CA)
01/18/2023, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,2,Alicia Robinson,Sul,15,Balcão,Stacy Harvey,31,Feminino,christine99@murray.net,39.98,20,19.98,Noite,Texas (TX)
11/29/2021, Refrigerante  ,Bebida ,4.99,1,3,Danielle Gardner,Norte,9,Delivery,Kathryn Mason,58,Feminino,albertgonzalez@rice-walls.com,14.97,3,11.97,Noite,New York (NY)
05/24/2022, Batata Frita  ,Acompanhamento ,9.99,3,10,Michelle Parker,Sul,11,Delivery,Regina Jackson,59,Feminino,qmendoza@reynolds-scott.com,99.9,30,69.9,Noite,Texas (TX)
11/30/2022, Batata Frita  ,Acompanhamento ,9.99,3,5,Peter Sharp,Leste,2,Delivery,Scott Burns,44,Feminino,williamgray@hotmail.com,49.95,15,34.95,Noite,Florida (FL)
05/28/2022, Milkshake  ,Sobremesa ,10.99,5,5,Erik Hinton,Sul,10,Delivery,Deborah Peterson,29,Feminino,oscar70@hotmail.com,54.95,25,29.950000000000003,Noite,Texas (TX)
02/24/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,9,Christopher Morgan,Oeste,9,Delivery,Phillip Bennett,48,Feminino,tim28@gmail.com,179.91,90,89.91,Noite,California (CA)
11/02/2021, Batata Frita  ,Acompanhamento ,9.99,3,9,Shannon Moore,Centro,9,Balcão,Joshua Miller,64,Masculino,estevens@gmail.com,89.91,27,62.91,Noite,Illinois (IL)
12/02/2021, Batata Frita  ,Acompanhamento ,9.99,3,4,Reginald Sanders,Oeste,3,Delivery,Melissa Short,63,Masculino,samantha06@yahoo.com,39.96,12,27.96,Noite,California (CA)
05/27/2023, Sundae  ,Sobremesa ,7.99,3,6,Melinda Hicks,Oeste,14,Balcão,Sheila Anthony,22,Masculino,estesmichael@yahoo.com,47.94,18,29.94,Noite,California (CA)
11/07/2021, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,3,John Reynolds,Leste,1,Drive-Thru,Derek Wyatt,65,Feminino,robertsalas@hernandez.com,59.97,30,29.97,Noite,Florida (FL)
02/26/2023, Refrigerante  ,Bebida ,4.99,1,6,Vanessa Morris,Centro,8,Drive-Thru,Shannon Thornton,55,Feminino,robertharris@gmail.com,29.94,6,23.94,Noite,Illinois (IL)
07/04/2023, Milkshake  ,Sobremesa ,10.99,5,1,Cynthia Bennett,Oeste,6,Drive-Thru,Joshua Johnson,18,Masculino,carlosvillegas@hotmail.com,10.99,5,5.99,Noite,California (CA)
05/11/2023, Sundae  ,Sobremesa ,7.99,3,1,Michael Davis,Leste,6,Drive-Thru,Robert Hensley,36,Feminino,nataliemorris@cruz.com,7.99,3,4.99,Noite,Florida (FL)
10/03/2023, Batata Frita  ,Acompanhamento ,9.99,3,6,Susan Morrow,Centro,6,Drive-Thru,Sandra Chen,61,Feminino,gedwards@wilson-bender.com,59.94,18,41.94,Noite,Illinois (IL)
10/31/2021, Refrigerante  ,Bebida ,4.99,1,6,Miranda Martinez,Oeste,3,Drive-Thru,Beth Williams,27,Feminino,brittanycampos@evans.com,29.94,6,23.94,Noite,California (CA)
10/09/2022, Refrigerante  ,Bebida ,4.99,1,10,Dana Hays,Leste,14,Balcão,Stephen Matthews,67,Masculino,joshuawashington@hotmail.com,49.900000000000006,10,39.900000000000006,Noite,Florida (FL)
03/03/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,3,Jeffery Brown,Leste,6,Balcão,Jeremy Summers,49,Masculino,shelby20@bautista.com,59.97,30,29.97,Noite,Florida (FL)
01/02/2022, Milkshake  ,Sobremesa ,10.99,5,1,Brian Kelly,Centro,4,Delivery,Angela Conley,60,Feminino,steve25@daniel-hale.info,10.99,5,5.99,Noite,Illinois (IL)
08/18/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,6,Eric Yang,Leste,15,Drive-Thru,Shawn Valentine,62,Feminino,kimberly68@hotmail.com,119.94,60,59.94,Noite,Florida (FL)
01/15/2023, Sundae  ,Sobremesa ,7.99,3,7,Michael Davis,Centro,11,Delivery,Betty Williams,27,Feminino,yscott@yahoo.com,55.93,21,34.93,Noite,Illinois (IL)
01/23/2022, Batata Frita  ,Acompanhamento ,9.99,3,9,Christopher Gray,Oeste,3,Delivery,Nicole Thomas,60,Feminino,rebecca94@hotmail.com,89.91,27,62.91,Noite,California (CA)
06/25/2022, Milkshake  ,Sobremesa ,10.99,5,9,Robert Pace,Oeste,13,Delivery,Eric Mckee,62,Feminino,williamwashington@yahoo.com,98.91,45,53.91,Noite,California (CA)
04/08/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,3,William Thompson,Sul,7,Delivery,Tiffany Ayala,40,Masculino,jonathan47@yahoo.com,59.97,30,29.97,Noite,Texas (TX)
08/07/2023, Refrigerante  ,Bebida ,4.99,1,10,Ariel Nelson,Leste,4,Balcão,Tamara Sandoval,20,Feminino,virginia60@yahoo.com,49.900000000000006,10,39.900000000000006,Noite,Florida (FL)
07/12/2022, Batata Frita  ,Acompanhamento ,9.99,3,6,Derek Hart,Leste,2,Balcão,Tiffany Davis,40,Feminino,williamsdenise@torres.org,59.94,18,41.94,Noite,Florida (FL)
01/16/2023, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,4,Kevin Johnson,Sul,14,Drive-Thru,Nicole Pierce,32,Feminino,marksummers@gmail.com,79.96,40,39.96,Noite,Texas (TX)
09/09/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,9,Doris Garcia,Norte,3,Drive-Thru,Mrs. Kelly Parker,25,Feminino,austinsmith@gmail.com,134.91,63,71.91,Noite,New York (NY)
07/20/2023, Refrigerante  ,Bebida ,4.99,1,4,Autumn Haney,Sul,7,Delivery,Heather Werner,32,Masculino,gonzalesmark@hotmail.com,19.96,4,15.96,Noite,Texas (TX)
05/30/2023, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,1,Patricia Brooks,Centro,5,Drive-Thru,Cheryl Rowe,61,Masculino,vrobinson@lang.org,19.99,10,9.989999999999998,Noite,Illinois (IL)
03/17/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,1,Joseph Miller,Oeste,3,Delivery,Alicia Dean,50,Feminino,cynthia37@hotmail.com,14.99,7,7.99,Noite,California (CA)
12/22/2021, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,6,Jason Ortiz,Sul,7,Balcão,Cindy Hayes,37,Masculino,jane10@malone.net,119.94,60,59.94,Noite,Texas (TX)
12/16/2021, Refrigerante  ,Bebida ,4.99,1,6,Kevin Wright,Sul,5,Balcão,Shane Walters,44,Feminino,deborah67@gmail.com,29.94,6,23.94,Noite,Texas (TX)
09/10/2023, Milkshake  ,Sobremesa ,10.99,5,1,Michael Costa,Oeste,13,Balcão,David Hoover,30,Masculino,humphreysheri@gmail.com,10.99,5,5.99,Noite,California (CA)
12/16/2022, Sundae  ,Sobremesa ,7.99,3,1,Tiffany Wilkins,Norte,1,Balcão,Mark Ortiz,37,Feminino,ashleyrogers@hotmail.com,7.99,3,4.99,Noite,New York (NY)
11/04/2021, Milkshake  ,Sobremesa ,10.99,5,9,Ryan Wood,Norte,9,Delivery,Lisa Garner,49,Masculino,reesekelli@freeman-hale.com,98.91,45,53.91,Noite,New York (NY)
11/27/2022, Batata Frita  ,Acompanhamento ,9.99,3,6,Anna Jackson,Centro,2,Drive-Thru,Christina Rodriguez,58,Masculino,lisawaters@anderson.biz,59.94,18,41.94,Noite,Illinois (IL)
10/10/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,6,Frank Blair,Centro,13,Delivery,Crystal Kirk,44,Masculino,andrew05@vargas-miller.info,119.94,60,59.94,Noite,Illinois (IL)
01/28/2022, Refrigerante  ,Bebida ,4.99,1,7,Michele Scott,Centro,6,Balcão,Eric Gonzalez,19,Feminino,nmartin@franklin.info,34.93,7,27.93,Noite,Illinois (IL)
04/20/2022, Batata Frita  ,Acompanhamento ,9.99,3,1,Mark Roberts,Norte,15,Delivery,Marissa Young,47,Masculino,parsonsclaudia@yahoo.com,9.99,3,6.99,Noite,New York (NY)
11/21/2022, Milkshake  ,Sobremesa ,10.99,5,9,Samuel Holt,Sul,15,Drive-Thru,Lee Hall,67,Masculino,scottjoshua@shaw.com,98.91,45,53.91,Noite,Texas (TX)
11/27/2021, Milkshake  ,Sobremesa ,10.99,5,5,Robert Glass,Centro,3,Balcão,Erika Jackson,49,Masculino,zacharyburke@gmail.com,54.95,25,29.950000000000003,Noite,Illinois (IL)
03/23/2022, Batata Frita  ,Acompanhamento ,9.99,3,10,Paula Cardenas,Oeste,3,Balcão,Cody Day,65,Masculino,mtaylor@hotmail.com,99.9,30,69.9,Noite,California (CA)
11/29/2021, Batata Frita  ,Acompanhamento ,9.99,3,1,Carol West MD,Sul,14,Drive-Thru,Tony Burke,44,Feminino,nathan08@woodward-pittman.com,9.99,3,6.99,Noite,Texas (TX)
02/20/2023, Batata Frita  ,Acompanhamento ,9.99,3,5,Brian Gray,Oeste,4,Drive-Thru,Ashley Miller,61,Masculino,patricia66@snow-conner.org,49.95,15,34.95,Noite,California (CA)
10/13/2021, Hambúrguer Simples  ,Hambúrguer ,14.99,7,6,Joanne Waters,Norte,15,Drive-Thru,Phillip Leonard,39,Masculino,kristi05@hotmail.com,89.94,42,47.94,Noite,New York (NY)
08/25/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,5,Cory Cruz,Oeste,14,Delivery,Tim Mercado,35,Feminino,millereric@gmail.com,99.95,50,49.94999999999999,Noite,California (CA)
10/29/2022, Refrigerante  ,Bebida ,4.99,1,4,Kevin Bowman,Centro,4,Delivery,Thomas Roberts,20,Masculino,oscar95@gmail.com,19.96,4,15.96,Noite,Illinois (IL)
06/21/2022, Batata Frita  ,Acompanhamento ,9.99,3,8,Kevin White,Norte,1,Delivery,Kimberly Hogan,42,Feminino,katie00@hotmail.com,79.92,24,55.92,Noite,New York (NY)
04/20/2022, Sundae  ,Sobremesa ,7.99,3,9,Erik Brewer,Centro,13,Drive-Thru,Jared Walker,30,Feminino,zhoward@gmail.com,71.91,27,44.91,Noite,Illinois (IL)
09/18/2022, Refrigerante  ,Bebida ,4.99,1,7,Richard Harrison,Centro,8,Delivery,Kimberly Mason,34,Masculino,maxmarquez@gmail.com,34.93,7,27.93,Noite,Illinois (IL)
08/23/2023, Batata Frita  ,Acompanhamento ,9.99,3,9,Rita Larson,Centro,12,Drive-Thru,Virginia Hardy,30,Feminino,melissa49@hotmail.com,89.91,27,62.91,Noite,Illinois (IL)
09/07/2023, Hambúrguer Simples  ,Hambúrguer ,14.99,7,2,Mary Morgan,Sul,11,Delivery,Tracy Snyder,47,Masculino,lorithomas@burton-robinson.com,29.98,14,15.98,Noite,Texas (TX)
01/01/2022, Refrigerante  ,Bebida ,4.99,1,5,Ashley Mcfarland,Centro,10,Delivery,Richard Archer,27,Feminino,sodom@hotmail.com,24.950000000000003,5,19.950000000000003,Noite,Illinois (IL)
11/14/2021, Refrigerante  ,Bebida ,4.99,1,10,Yvonne Fitzpatrick,Sul,9,Balcão,Victoria Powers,28,Masculino,robinsonlarry@hotmail.com,49.900000000000006,10,39.900000000000006,Noite,Texas (TX)
09/24/2022, Sundae  ,Sobremesa ,7.99,3,2,Angela Bryant,Norte,2,Balcão,Kevin Coleman,34,Masculino,joanne12@jones.info,15.98,6,9.98,Noite,New York (NY)
02/22/2023, Refrigerante  ,Bebida ,4.99,1,1,Bryan Long,Sul,1,Delivery,Jennifer Ross,29,Masculino,lquinn@maldonado.biz,4.99,1,3.99,Noite,Texas (TX)
07/14/2023, Hambúrguer Simples  ,Hambúrguer ,14.99,7,6,Matthew Haynes,Sul,14,Drive-Thru,Crystal Clark,24,Masculino,areed@gmail.com,89.94,42,47.94,Noite,Texas (TX)
11/01/2022, Refrigerante  ,Bebida ,4.99,1,1,Sean Adams,Oeste,5,Drive-Thru,Stephen Irwin,18,Feminino,victoria57@hotmail.com,4.99,1,3.99,Noite,California (CA)
12/18/2021, Hambúrguer Simples  ,Hambúrguer ,14.99,7,10,Kelsey Barr,Norte,6,Drive-Thru,Bradley Lewis,37,Masculino,danielle29@watkins-smith.net,149.9,70,79.9,Noite,New York (NY)
06/14/2023, Milkshake  ,Sobremesa ,10.99,5,5,Carrie Fisher,Norte,8,Drive-Thru,Vincent Marquez,65,Feminino,scruz@gmail.com,54.95,25,29.950000000000003,Noite,New York (NY)
02/23/2023, Hambúrguer Simples  ,Hambúrguer ,14.99,7,7,Hannah Price,Leste,11,Balcão,Charles Carson,26,Masculino,larsonamanda@ruiz.org,104.93,49,55.93000000000001,Noite,Florida (FL)
08/09/2023, Hambúrguer Simples  ,Hambúrguer ,14.99,7,6,Olivia Francis,Centro,14,Delivery,Anna Chang,35,Masculino,rebecca64@spears.com,89.94,42,47.94,Noite,Illinois (IL)
06/06/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,10,Mary Jones,Leste,7,Drive-Thru,Peter Brown PhD,44,Feminino,hrodriguez@allen.com,149.9,70,79.9,Noite,Florida (FL)
08/28/2023, Sundae  ,Sobremesa ,7.99,3,6,Jeffrey Hernandez,Leste,10,Balcão,Gloria Carr,33,Masculino,reyesjeremy@roberts.com,47.94,18,29.94,Noite,Florida (FL)
12/18/2021, Milkshake  ,Sobremesa ,10.99,5,5,Dr. Meghan Hall,Norte,14,Drive-Thru,Dawn Perkins,27,Masculino,morenosteven@yahoo.com,54.95,25,29.950000000000003,Noite,New York (NY)
11/01/2022, Sundae  ,Sobremesa ,7.99,3,6,Jeffery Carpenter,Centro,2,Balcão,David Howell,48,Masculino,martinezsarah@yahoo.com,47.94,18,29.94,Noite,Illinois (IL)
01/28/2023, Hambúrguer Simples  ,Hambúrguer ,14.99,7,5,Anthony Graham,Norte,2,Delivery,Beth Rosales DDS,20,Feminino,diana84@klein-jackson.com,74.95,35,39.95,Noite,New York (NY)
05/09/2022, Sundae  ,Sobremesa ,7.99,3,6,Reginald Mckay,Oeste,3,Delivery,Natasha Cox,61,Masculino,jjordan@yahoo.com,47.94,18,29.94,Noite,California (CA)
09/15/2023, Hambúrguer Simples  ,Hambúrguer ,14.99,7,5,Lee Smith,Oeste,2,Delivery,Alexander Washington,66,Feminino,jenningsanthony@vasquez.com,74.95,35,39.95,Noite,California (CA)
12/02/2022, Batata Frita  ,Acompanhamento ,9.99,3,1,Paul Rhodes,Oeste,9,Balcão,Robert Winters,70,Masculino,rhodesjessica@johnson.com,9.99,3,6.99,Noite,California (CA)
01/22/2023, Milkshake  ,Sobremesa ,10.99,5,6,Carl Brown,Centro,5,Drive-Thru,Joseph Hawkins,25,Masculino,chelseaevans@yahoo.com,65.94,30,35.94,Noite,Illinois (IL)
03/09/2023, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,7,Tracey Bautista,Norte,3,Balcão,Christopher Walker,34,Feminino,josephbradford@blanchard.com,139.92999999999998,70,69.92999999999998,Noite,New York (NY)
03/30/2022, Milkshake  ,Sobremesa ,10.99,5,8,Frederick Carrillo,Oeste,5,Balcão,Daniel Lee,63,Feminino,diana37@taylor-bell.info,87.92,40,47.92,Noite,California (CA)
05/09/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,10,Jennifer Johnson,Norte,4,Drive-Thru,Peggy Campbell,69,Masculino,brittney42@gmail.com,199.9,100,99.89999999999998,Noite,New York (NY)
05/02/2023, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,1,Nicolas Fletcher,Oeste,1,Delivery,Kimberly Baker,48,Masculino,ericksondiana@yahoo.com,19.99,10,9.989999999999998,Noite,California (CA)
12/18/2022, Hambúrguer Simples  ,Hambúrguer ,14.99,7,5,Chelsea Smith,Norte,9,Delivery,Ryan Blackburn,22,Masculino,samuel67@hotmail.com,74.95,35,39.95,Noite,New York (NY)
12/07/2021, Milkshake  ,Sobremesa ,10.99,5,8,Chad Frye,Norte,5,Delivery,Kristin Davis,31,Masculino,jacob29@yahoo.com,87.92,40,47.92,Noite,New York (NY)
07/20/2023, Sundae  ,Sobremesa ,7.99,3,7,Kristin Clarke,Centro,9,Balcão,Danielle Stevens,45,Feminino,johnsoncindy@smith.biz,55.93,21,34.93,Noite,Illinois (IL)
05/10/2022, Milkshake  ,Sobremesa ,10.99,5,7,Dr. Richard Farmer,Leste,12,Delivery,Victor Jones,42,Feminino,wernerjeremy@hotmail.com,76.93,35,41.93000000000001,Noite,Florida (FL)
04/09/2023, Hambúrguer Simples  ,Hambúrguer ,14.99,7,6,Katelyn Garcia,Centro,6,Drive-Thru,Kimberly Johnson,23,Masculino,jacqueline53@gmail.com,89.94,42,47.94,Noite,Illinois (IL)
09/26/2023, Refrigerante  ,Bebida ,4.99,1,3,Rachel Barber,Leste,13,Delivery,Mr. Scott Phillips,64,Masculino,jonessandra@clark.com,14.97,3,11.97,Noite,Florida (FL)
11/03/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,4,Susan Hansen,Centro,1,Balcão,Robin Villarreal,56,Masculino,utorres@jackson.com,79.96,40,39.96,Noite,Illinois (IL)
09/11/2023, Refrigerante  ,Bebida ,4.99,1,9,Bernard Lewis,Oeste,5,Drive-Thru,Michael Sanchez,22,Masculino,colemanstephanie@allison.com,44.91,9,35.910000000000004,Noite,California (CA)
05/07/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,2,Julie English,Norte,14,Delivery,Mr. Michael Wood,25,Masculino,danielmonica@garcia-burch.com,39.98,20,19.98,Noite,New York (NY)
11/12/2022, Milkshake  ,Sobremesa ,10.99,5,7,Kelly Carroll,Oeste,5,Balcão,Ana Thompson,47,Feminino,azuniga@gmail.com,76.93,35,41.93000000000001,Noite,California (CA)
05/01/2022, Refrigerante  ,Bebida ,4.99,1,9,Joe Thompson,Leste,5,Delivery,Julia Glass,36,Masculino,carrie97@hotmail.com,44.91,9,35.910000000000004,Noite,Florida (FL)
08/30/2022, Refrigerante  ,Bebida ,4.99,1,9,David Bass,Sul,10,Balcão,Robert Guerrero,58,Feminino,ramirezalex@sweeney.com,44.91,9,35.910000000000004,Noite,Texas (TX)
07/12/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,8,Seth Johnson,Leste,2,Delivery,Briana Brown,42,Feminino,quinndeanna@santos.com,159.92,80,79.91999999999999,Noite,Florida (FL)
01/01/2022, Hambúrguer Duplo  ,Hambúrguer ,19.99,10,10,Kelly Singleton,Leste,1,Balcão,Gina Wagner,31,Feminino,khess@skinner.biz,199.9,100,99.89999999999998,Noite,Florida (FL)
01/27/2022, Milkshake  ,Sobremesa ,10.99,5,1,Evan Jackson,Leste,7,Drive-Thru,Crystal Vasquez,46,Feminino,russell11@hotmail.com,10.99,5,5.99,Noite,Florida (FL)
11/25/2021, Refrigerante  ,Bebida ,4.99,1,2,Jason Hampton,Leste,1,Drive-Thru,Michael Costa,22,Masculino,coreyramirez@graham.com,9.98,2,7.98,Noite,Florida (FL)
11/08/2022, Batata Frita  ,Acompanhamento ,9.99,3,10,Gary Mitchell,Sul,5,Delivery,Ashley Payne,22,Masculino,ocraig@novak.com,99.9,30,69.9,Noite,Texas (TX)
10/18/2022, Batata Frita  ,Acompanhamento ,9.99,3,10,Emily Thompson MD,Sul,2,Delivery,Robert Baxter,66,Feminino,david18@yahoo.com,99.9,30,69.9,Noite,Texas (TX)
09/02/2022, Sundae  ,Sobremesa ,7.99,3,8,Sabrina Ortega,Oeste,14,Balcão,Lori Vargas,38,Masculino,lucas68@bauer.com,63.92,24,39.92,Noite,California (CA)
