Data da Venda,Nome do Produto,Categoria do Produto,Preço Unitário do Produto,Custo de Produção Unitário,Quantidade Vendida,Nome do Funcionário,Região do Fast Food,Tempo de Atendimento (min),Tipo de Atendimento,Nome do Cliente,Idade do Cliente,Gênero do Cliente,Valor Total de Venda,Custo Total de Produção,Lucro,Estado
2022-05-21,Batata Frita,Acompanhamento,9.99,3,5,Gabrielle Jordan,Centro,5,Balcão,Charles Campbell,65,Feminino,49.95,15,34.95,Illinois (IL)
2023-02-27,Hambúrguer Duplo,Hambúrguer,19.99,10,3,Thomas Wolfe,Norte,5,Delivery,Christina Mccarthy,27,Feminino,59.97,30,29.97,New York (NY)
2022-07-15,Batata Frita,Acompanhamento,9.99,3,6,Sonya Cline,Oeste,7,Drive-Thru,Paula Williams,25,Feminino,59.94,18,41.94,California (CA)
2022-09-26,Milkshake,Sobremesa,10.99,5,1,Peggy Lawrence,Norte,14,Delivery,Paul Singleton,18,Masculino,10.99,5,5.99,New York (NY)
2022-04-22,Batata Frita,Acompanhamento,9.99,3,4,Frank Curtis,Sul,6,Delivery,Jerome Santos PhD,22,Feminino,39.96,12,27.96,Texas (TX)
2023-04-09,Sundae,Sobremesa,7.99,3,2,Jeffery Smith,Oeste,2,Drive-Thru,Valerie Anderson,50,Feminino,15.98,6,9.98,California (CA)
2022-09-06,Sundae,Sobremesa,7.99,3,4,Holly Wise,Leste,9,Balcão,Sean Reese,35,Masculino,31.96,12,19.96,Florida (FL)
2023-03-10,Milkshake,Sobremesa,10.99,5,8,Mary Rivera,Norte,2,Drive-Thru,Kent Rivera,36,Masculino,87.92,40,47.92,New York (NY)
2021-10-29,Milkshake,Sobremesa,10.99,5,2,Patricia Yates,Centro,1,Delivery,Kristopher Boyd,21,Feminino,21.98,10,11.98,Illinois (IL)
2022-09-18,Hambúrguer Simples,Hambúrguer,14.99,7,3,Michael Potter,Sul,15,Delivery,Bonnie Phillips,45,Feminino,44.97,21,23.97,Texas (TX)
2022-04-05,Hambúrguer Simples,Hambúrguer,14.99,7,3,Douglas Foster,Sul,2,Balcão,Jesse Miller,22,Feminino,44.97,21,23.97,Texas (TX)
2022-05-18,Hambúrguer Simples,Hambúrguer,14.99,7,4,Emily Pierce,Oeste,1,Delivery,Vanessa Moore,49,Feminino,59.96,28,31.96,California (CA)
2022-09-07,Hambúrguer Simples,Hambúrguer,14.99,7,9,Jason Clark,Sul,10,Delivery,Albert Wheeler,38,Masculino,134.91,63,71.91,Texas (TX)
2022-12-26,Hambúrguer Duplo,Hambúrguer,19.99,10,10,Katie King,Norte,9,Delivery,Mark Gardner,69,Masculino,199.9,100,99.89999999999998,New York (NY)
2022-05-14,Refrigerante,Bebida,4.99,1,2,Mrs. Cassandra White,Leste,12,Drive-Thru,Nicole Jones,32,Feminino,9.98,2,7.98,Florida (FL)
2022-06-15,Sundae,Sobremesa,7.99,3,5,Sylvia Carter,Sul,12,Drive-Thru,Kaylee Andrade,26,Masculino,39.95,15,24.950000000000003,Texas (TX)
2023-08-28,Hambúrguer Duplo,Hambúrguer,19.99,10,9,Leslie Cooper,Sul,1,Balcão,Katrina Rhodes,29,Masculino,179.91,90,89.91,Texas (TX)
2021-11-22,Milkshake,Sobremesa,10.99,5,5,Joe Travis,Oeste,13,Delivery,Jennifer Flynn,57,Feminino,54.95,25,29.950000000000003,California (CA)
2022-03-09,Sundae,Sobremesa,7.99,3,2,Nancy Ward,Centro,15,Drive-Thru,Lisa Valdez,57,Feminino,15.98,6,9.98,Illinois (IL)
2023-03-07,Milkshake,Sobremesa,10.99,5,9,Justin Tucker,Oeste,8,Balcão,Peggy Flowers,50,Feminino,98.91,45,53.91,California (CA)
2023-07-15,Hambúrguer Duplo,Hambúrguer,19.99,10,7,Richard Johnson,Norte,12,Drive-Thru,Mr. Edward Mueller,61,Feminino,139.92999999999998,70,69.92999999999998,New York (NY)
2022-04-26,Hambúrguer Simples,Hambúrguer,14.99,7,5,Alyssa Webb,Oeste,12,Drive-Thru,Sandra Owens,30,Feminino,74.95,35,39.95,California (CA)
2023-01-18,Hambúrguer Duplo,Hambúrguer,19.99,10,2,Alicia Robinson,Sul,15,Balcão,Stacy Harvey,31,Feminino,39.98,20,19.98,Texas (TX)
2021-11-29,Refrigerante,Bebida,4.99,1,3,Danielle Gardner,Norte,9,Delivery,Kathryn Mason,58,Feminino,14.97,3,11.97,New York (NY)
2022-05-24,Batata Frita,Acompanhamento,9.99,3,10,Michelle Parker,Sul,11,Delivery,Regina Jackson,59,Feminino,99.9,30,69.9,Texas (TX)
2022-11-30,Batata Frita,Acompanhamento,9.99,3,5,Peter Sharp,Leste,2,Delivery,Scott Burns,44,Feminino,49.95,15,34.95,Florida (FL)
2022-05-28,Milkshake,Sobremesa,10.99,5,5,Erik Hinton,Sul,10,Delivery,Deborah Peterson,29,Feminino,54.95,25,29.950000000000003,Texas (TX)
2022-02-24,Hambúrguer Duplo,Hambúrguer,19.99,10,9,Christopher Morgan,Oeste,9,Delivery,Phillip Bennett,48,Feminino,179.91,90,89.91,California (CA)
2021-11-02,Batata Frita,Acompanhamento,9.99,3,9,Shannon Moore,Centro,9,Balcão,Joshua Miller,64,Masculino,89.91,27,62.91,Illinois (IL)
2021-12-02,Batata Frita,Acompanhamento,9.99,3,4,Reginald Sanders,Oeste,3,Delivery,Melissa Short,63,Masculino,39.96,12,27.96,California (CA)
2023-05-27,Sundae,Sobremesa,7.99,3,6,Melinda Hicks,Oeste,14,Balcão,Sheila Anthony,22,Masculino,47.94,18,29.94,California (CA)
2021-11-07,Hambúrguer Duplo,Hambúrguer,19.99,10,3,John Reynolds,Leste,1,Drive-Thru,Derek Wyatt,65,Feminino,59.97,30,29.97,Florida (FL)
2023-02-26,Refrigerante,Bebida,4.99,1,6,Vanessa Morris,Centro,8,Drive-Thru,Shannon Thornton,55,Feminino,29.94,6,23.94,Illinois (IL)
2023-07-04,Milkshake,Sobremesa,10.99,5,1,Cynthia Bennett,Oeste,6,Drive-Thru,Joshua Johnson,18,Masculino,10.99,5,5.99,California (CA)
2023-05-11,Sundae,Sobremesa,7.99,3,1,Michael Davis,Leste,6,Drive-Thru,Robert Hensley,36,Feminino,7.99,3,4.99,Florida (FL)
2023-10-03,Batata Frita,Acompanhamento,9.99,3,6,Susan Morrow,Centro,6,Drive-Thru,Sandra Chen,61,Feminino,59.94,18,41.94,Illinois (IL)
2021-10-31,Refrigerante,Bebida,4.99,1,6,Miranda Martinez,Oeste,3,Drive-Thru,Beth Williams,27,Feminino,29.94,6,23.94,California (CA)
2022-10-09,Refrigerante,Bebida,4.99,1,10,Dana Hays,Leste,14,Balcão,Stephen Matthews,67,Masculino,49.900000000000006,10,39.900000000000006,Florida (FL)
2022-03-03,Hambúrguer Duplo,Hambúrguer,19.99,10,3,Jeffery Brown,Leste,6,Balcão,Jeremy Summers,49,Masculino,59.97,30,29.97,Florida (FL)
2022-01-02,Milkshake,Sobremesa,10.99,5,1,Brian Kelly,Centro,4,Delivery,Angela Conley,60,Feminino,10.99,5,5.99,Illinois (IL)
2022-08-18,Hambúrguer Duplo,Hambúrguer,19.99,10,6,Eric Yang,Leste,15,Drive-Thru,Shawn Valentine,62,Feminino,119.94,60,59.94,Florida (FL)
2023-01-15,Sundae,Sobremesa,7.99,3,7,Michael Davis,Centro,11,Delivery,Betty Williams,27,Feminino,55.93,21,34.93,Illinois (IL)
2022-01-23,Batata Frita,Acompanhamento,9.99,3,9,Christopher Gray,Oeste,3,Delivery,Nicole Thomas,60,Feminino,89.91,27,62.91,California (CA)
2022-06-25,Milkshake,Sobremesa,10.99,5,9,Robert Pace,Oeste,13,Delivery,Eric Mckee,62,Feminino,98.91,45,53.91,California (CA)
2022-04-08,Hambúrguer Duplo,Hambúrguer,19.99,10,3,William Thompson,Sul,7,Delivery,Tiffany Ayala,40,Masculino,59.97,30,29.97,Texas (TX)
2023-08-07,Refrigerante,Bebida,4.99,1,10,Ariel Nelson,Leste,4,Balcão,Tamara Sandoval,20,Feminino,49.900000000000006,10,39.900000000000006,Florida (FL)
2022-07-12,Batata Frita,Acompanhamento,9.99,3,6,Derek Hart,Leste,2,Balcão,Tiffany Davis,40,Feminino,59.94,18,41.94,Florida (FL)
2023-01-16,Hambúrguer Duplo,Hambúrguer,19.99,10,4,Kevin Johnson,Sul,14,Drive-Thru,Nicole Pierce,32,Feminino,79.96,40,39.96,Texas (TX)
2022-09-09,Hambúrguer Simples,Hambúrguer,14.99,7,9,Doris Garcia,Norte,3,Drive-Thru,Mrs. Kelly Parker,25,Feminino,134.91,63,71.91,New York (NY)
2023-07-20,Refrigerante,Bebida,4.99,1,4,Autumn Haney,Sul,7,Delivery,Heather Werner,32,Masculino,19.96,4,15.96,Texas (TX)
2023-05-30,Hambúrguer Duplo,Hambúrguer,19.99,10,1,Patricia Brooks,Centro,5,Drive-Thru,Cheryl Rowe,61,Masculino,19.99,10,9.989999999999998,Illinois (IL)
2022-03-17,Hambúrguer Simples,Hambúrguer,14.99,7,1,Joseph Miller,Oeste,3,Delivery,Alicia Dean,50,Feminino,14.99,7,7.99,California (CA)
2021-12-22,Hambúrguer Duplo,Hambúrguer,19.99,10,6,Jason Ortiz,Sul,7,Balcão,Cindy Hayes,37,Masculino,119.94,60,59.94,Texas (TX)
2021-12-16,Refrigerante,Bebida,4.99,1,6,Kevin Wright,Sul,5,Balcão,Shane Walters,44,Feminino,29.94,6,23.94,Texas (TX)
2023-09-10,Milkshake,Sobremesa,10.99,5,1,Michael Costa,Oeste,13,Balcão,David Hoover,30,Masculino,10.99,5,5.99,California (CA)
2022-12-16,Sundae,Sobremesa,7.99,3,1,Tiffany Wilkins,Norte,1,Balcão,Mark Ortiz,37,Feminino,7.99,3,4.99,New York (NY)
2021-11-04,Milkshake,Sobremesa,10.99,5,9,Ryan Wood,Norte,9,Delivery,Lisa Garner,49,Masculino,98.91,45,53.91,New York (NY)
2022-11-27,Batata Frita,Acompanhamento,9.99,3,6,Anna Jackson,Centro,2,Drive-Thru,Christina Rodriguez,58,Masculino,59.94,18,41.94,Illinois (IL)
2022-10-10,Hambúrguer Duplo,Hambúrguer,19.99,10,6,Frank Blair,Centro,13,Delivery,Crystal Kirk,44,Masculino,119.94,60,59.94,Illinois (IL)
2022-01-28,Refrigerante,Bebida,4.99,1,7,Michele Scott,Centro,6,Balcão,Eric Gonzalez,19,Feminino,34.93,7,27.93,Illinois (IL)
2022-04-20,Batata Frita,Acompanhamento,9.99,3,1,Mark Roberts,Norte,15,Delivery,Marissa Young,47,Masculino,9.99,3,6.99,New York (NY)
2022-11-21,Milkshake,Sobremesa,10.99,5,9,Samuel Holt,Sul,15,Drive-Thru,Lee Hall,67,Masculino,98.91,45,53.91,Texas (TX)
2021-11-27,Milkshake,Sobremesa,10.99,5,5,Robert Glass,Centro,3,Balcão,Erika Jackson,49,Masculino,54.95,25,29.950000000000003,Illinois (IL)
2022-03-23,Batata Frita,Acompanhamento,9.99,3,10,Paula Cardenas,Oeste,3,Balcão,Cody Day,65,Masculino,99.9,30,69.9,California (CA)
2021-11-29,Batata Frita,Acompanhamento,9.99,3,1,Carol West MD,Sul,14,Drive-Thru,Tony Burke,44,Feminino,9.99,3,6.99,Texas (TX)
2023-02-20,Batata Frita,Acompanhamento,9.99,3,5,Brian Gray,Oeste,4,Drive-Thru,Ashley Miller,61,Masculino,49.95,15,34.95,California (CA)
2021-10-13,Hambúrguer Simples,Hambúrguer,14.99,7,6,Joanne Waters,Norte,15,Drive-Thru,Phillip Leonard,39,Masculino,89.94,42,47.94,New York (NY)
2022-08-25,Hambúrguer Duplo,Hambúrguer,19.99,10,5,Cory Cruz,Oeste,14,Delivery,Tim Mercado,35,Feminino,99.95,50,49.94999999999999,California (CA)
2022-10-29,Refrigerante,Bebida,4.99,1,4,Kevin Bowman,Centro,4,Delivery,Thomas Roberts,20,Masculino,19.96,4,15.96,Illinois (IL)
2022-06-21,Batata Frita,Acompanhamento,9.99,3,8,Kevin White,Norte,1,Delivery,Kimberly Hogan,42,Feminino,79.92,24,55.92,New York (NY)
2022-04-20,Sundae,Sobremesa,7.99,3,9,Erik Brewer,Centro,13,Drive-Thru,Jared Walker,30,Feminino,71.91,27,44.91,Illinois (IL)
2022-09-18,Refrigerante,Bebida,4.99,1,7,Richard Harrison,Centro,8,Delivery,Kimberly Mason,34,Masculino,34.93,7,27.93,Illinois (IL)
2023-08-23,Batata Frita,Acompanhamento,9.99,3,9,Rita Larson,Centro,12,Drive-Thru,Virginia Hardy,30,Feminino,89.91,27,62.91,Illinois (IL)
2023-09-07,Hambúrguer Simples,Hambúrguer,14.99,7,2,Mary Morgan,Sul,11,Delivery,Tracy Snyder,47,Masculino,29.98,14,15.98,Texas (TX)
2022-01-01,Refrigerante,Bebida,4.99,1,5,Ashley Mcfarland,Centro,10,Delivery,Richard Archer,27,Feminino,24.950000000000003,5,19.950000000000003,Illinois (IL)
2021-11-14,Refrigerante,Bebida,4.99,1,10,Yvonne Fitzpatrick,Sul,9,Balcão,Victoria Powers,28,Masculino,49.900000000000006,10,39.900000000000006,Texas (TX)
2022-09-24,Sundae,Sobremesa,7.99,3,2,Angela Bryant,Norte,2,Balcão,Kevin Coleman,34,Masculino,15.98,6,9.98,New York (NY)
2023-02-22,Refrigerante,Bebida,4.99,1,1,Bryan Long,Sul,1,Delivery,Jennifer Ross,29,Masculino,4.99,1,3.99,Texas (TX)
2023-07-14,Hambúrguer Simples,Hambúrguer,14.99,7,6,Matthew Haynes,Sul,14,Drive-Thru,Crystal Clark,24,Masculino,89.94,42,47.94,Texas (TX)
2022-11-01,Refrigerante,Bebida,4.99,1,1,Sean Adams,Oeste,5,Drive-Thru,Stephen Irwin,18,Feminino,4.99,1,3.99,California (CA)
2021-12-18,Hambúrguer Simples,Hambúrguer,14.99,7,10,Kelsey Barr,Norte,6,Drive-Thru,Bradley Lewis,37,Masculino,149.9,70,79.9,New York (NY)
2023-06-14,Milkshake,Sobremesa,10.99,5,5,Carrie Fisher,Norte,8,Drive-Thru,Vincent Marquez,65,Feminino,54.95,25,29.950000000000003,New York (NY)
2023-02-23,Hambúrguer Simples,Hambúrguer,14.99,7,7,Hannah Price,Leste,11,Balcão,Charles Carson,26,Masculino,104.93,49,55.93000000000001,Florida (FL)
2023-08-09,Hambúrguer Simples,Hambúrguer,14.99,7,6,Olivia Francis,Centro,14,Delivery,Anna Chang,35,Masculino,89.94,42,47.94,Illinois (IL)
2022-06-06,Hambúrguer Simples,Hambúrguer,14.99,7,10,Mary Jones,Leste,7,Drive-Thru,Peter Brown PhD,44,Feminino,149.9,70,79.9,Florida (FL)
2023-08-28,Sundae,Sobremesa,7.99,3,6,Jeffrey Hernandez,Leste,10,Balcão,Gloria Carr,33,Masculino,47.94,18,29.94,Florida (FL)
2021-12-18,Milkshake,Sobremesa,10.99,5,5,Dr. Meghan Hall,Norte,14,Drive-Thru,Dawn Perkins,27,Masculino,54.95,25,29.950000000000003,New York (NY)
2022-11-01,Sundae,Sobremesa,7.99,3,6,Jeffery Carpenter,Centro,2,Balcão,David Howell,48,Masculino,47.94,18,29.94,Illinois (IL)
2023-01-28,Hambúrguer Simples,Hambúrguer,14.99,7,5,Anthony Graham,Norte,2,Delivery,Beth Rosales DDS,20,Feminino,74.95,35,39.95,New York (NY)
2022-05-09,Sundae,Sobremesa,7.99,3,6,Reginald Mckay,Oeste,3,Delivery,Natasha Cox,61,Masculino,47.94,18,29.94,California (CA)
2023-09-15,Hambúrguer Simples,Hambúrguer,14.99,7,5,Lee Smith,Oeste,2,Delivery,Alexander Washington,66,Feminino,74.95,35,39.95,California (CA)
2022-12-02,Batata Frita,Acompanhamento,9.99,3,1,Paul Rhodes,Oeste,9,Balcão,Robert Winters,70,Masculino,9.99,3,6.99,California (CA)
2023-01-22,Milkshake,Sobremesa,10.99,5,6,Carl Brown,Centro,5,Drive-Thru,Joseph Hawkins,25,Masculino,65.94,30,35.94,Illinois (IL)
2023-03-09,Hambúrguer Duplo,Hambúrguer,19.99,10,7,Tracey Bautista,Norte,3,Balcão,Christopher Walker,34,Feminino,139.92999999999998,70,69.92999999999998,New York (NY)
2022-03-30,Milkshake,Sobremesa,10.99,5,8,Frederick Carrillo,Oeste,5,Balcão,Daniel Lee,63,Feminino,87.92,40,47.92,California (CA)
2022-05-09,Hambúrguer Duplo,Hambúrguer,19.99,10,10,Jennifer Johnson,Norte,4,Drive-Thru,Peggy Campbell,69,Masculino,199.9,100,99.89999999999998,New York (NY)
2023-05-02,Hambúrguer Duplo,Hambúrguer,19.99,10,1,Nicolas Fletcher,Oeste,1,Delivery,Kimberly Baker,48,Masculino,19.99,10,9.989999999999998,California (CA)
2022-12-18,Hambúrguer Simples,Hambúrguer,14.99,7,5,Chelsea Smith,Norte,9,Delivery,Ryan Blackburn,22,Masculino,74.95,35,39.95,New York (NY)
2021-12-07,Milkshake,Sobremesa,10.99,5,8,Chad Frye,Norte,5,Delivery,Kristin Davis,31,Masculino,87.92,40,47.92,New York (NY)
2023-07-20,Sundae,Sobremesa,7.99,3,7,Kristin Clarke,Centro,9,Balcão,Danielle Stevens,45,Feminino,55.93,21,34.93,Illinois (IL)
2022-05-10,Milkshake,Sobremesa,10.99,5,7,Dr. Richard Farmer,Leste,12,Delivery,Victor Jones,42,Feminino,76.93,35,41.93000000000001,Florida (FL)
2023-04-09,Hambúrguer Simples,Hambúrguer,14.99,7,6,Katelyn Garcia,Centro,6,Drive-Thru,Kimberly Johnson,23,Masculino,89.94,42,47.94,Illinois (IL)
2023-09-26,Refrigerante,Bebida,4.99,1,3,Rachel Barber,Leste,13,Delivery,Mr. Scott Phillips,64,Masculino,14.97,3,11.97,Florida (FL)
2022-11-03,Hambúrguer Duplo,Hambúrguer,19.99,10,4,Susan Hansen,Centro,1,Balcão,Robin Villarreal,56,Masculino,79.96,40,39.96,Illinois (IL)
2023-09-11,Refrigerante,Bebida,4.99,1,9,Bernard Lewis,Oeste,5,Drive-Thru,Michael Sanchez,22,Masculino,44.91,9,35.910000000000004,California (CA)
2022-05-07,Hambúrguer Duplo,Hambúrguer,19.99,10,2,Julie English,Norte,14,Delivery,Mr. Michael Wood,25,Masculino,39.98,20,19.98,New York (NY)
2022-11-12,Milkshake,Sobremesa,10.99,5,7,Kelly Carroll,Oeste,5,Balcão,Ana Thompson,47,Feminino,76.93,35,41.93000000000001,California (CA)
2022-05-01,Refrigerante,Bebida,4.99,1,9,Joe Thompson,Leste,5,Delivery,Julia Glass,36,Masculino,44.91,9,35.910000000000004,Florida (FL)
2022-08-30,Refrigerante,Bebida,4.99,1,9,David Bass,Sul,10,Balcão,Robert Guerrero,58,Feminino,44.91,9,35.910000000000004,Texas (TX)
2022-07-12,Hambúrguer Duplo,Hambúrguer,19.99,10,8,Seth Johnson,Leste,2,Delivery,Briana Brown,42,Feminino,159.92,80,79.91999999999999,Florida (FL)
2022-01-01,Hambúrguer Duplo,Hambúrguer,19.99,10,10,Kelly Singleton,Leste,1,Balcão,Gina Wagner,31,Feminino,199.9,100,99.89999999999998,Florida (FL)
2022-01-27,Milkshake,Sobremesa,10.99,5,1,Evan Jackson,Leste,7,Drive-Thru,Crystal Vasquez,46,Feminino,10.99,5,5.99,Florida (FL)
2021-11-25,Refrigerante,Bebida,4.99,1,2,Jason Hampton,Leste,1,Drive-Thru,Michael Costa,22,Masculino,9.98,2,7.98,Florida (FL)
2022-11-08,Batata Frita,Acompanhamento,9.99,3,10,Gary Mitchell,Sul,5,Delivery,Ashley Payne,22,Masculino,99.9,30,69.9,Texas (TX)
2022-10-18,Batata Frita,Acompanhamento,9.99,3,10,Emily Thompson MD,Sul,2,Delivery,Robert Baxter,66,Feminino,99.9,30,69.9,Texas (TX)
2022-09-02,Sundae,Sobremesa,7.99,3,8,Sabrina Ortega,Oeste,14,Balcão,Lori Vargas,38,Masculino,63.92,24,39.92,California (CA)
2021-11-01,Hambúrguer Duplo,Hambúrguer,19.99,10,2,Leslie Nelson,Norte,8,Balcão,Tiffany Shaw,37,Masculino,39.98,20,19.98,New York (NY)
2022-07-09,Milkshake,Sobremesa,10.99,5,2,Jesus Mcclain,Centro,5,Delivery,Patty Evans,30,Masculino,21.98,10,11.98,Illinois (IL)
2023-03-09,Milkshake,Sobremesa,10.99,5,5,Lisa Wood,Centro,14,Delivery,Ivan Rangel,50,Masculino,54.95,25,29.950000000000003,Illinois (IL)
2022-08-26,Refrigerante,Bebida,4.99,1,10,Alexandra Hammond,Centro,11,Balcão,Robert Hall,48,Feminino,49.900000000000006,10,39.900000000000006,Illinois (IL)
2022-05-06,Hambúrguer Simples,Hambúrguer,14.99,7,5,Dawn Wilson,Norte,9,Delivery,Aaron Graham,44,Masculino,74.95,35,39.95,New York (NY)
2022-01-27,Hambúrguer Simples,Hambúrguer,14.99,7,10,Dr. Louis Mercer MD,Leste,7,Balcão,Donald Jones,33,Masculino,149.9,70,79.9,Florida (FL)
2022-11-26,Milkshake,Sobremesa,10.99,5,2,Daniel Strickland,Oeste,4,Delivery,Patricia Fry,24,Feminino,21.98,10,11.98,California (CA)
2022-07-27,Refrigerante,Bebida,4.99,1,7,Jody Meyers,Sul,9,Balcão,Robert Wood,30,Masculino,34.93,7,27.93,Texas (TX)
2023-05-04,Milkshake,Sobremesa,10.99,5,10,Sheila Leonard,Leste,7,Balcão,Jerry Smith,31,Feminino,109.9,50,59.900000000000006,Florida (FL)
2022-12-13,Milkshake,Sobremesa,10.99,5,1,Colleen Sullivan,Leste,13,Balcão,Lori Stanley,22,Masculino,10.99,5,5.99,Florida (FL)
2022-02-08,Hambúrguer Simples,Hambúrguer,14.99,7,6,Eric Coleman,Oeste,10,Delivery,Tracy Bauer,56,Feminino,89.94,42,47.94,California (CA)
2022-11-06,Refrigerante,Bebida,4.99,1,2,Robert Gillespie,Centro,14,Drive-Thru,Roger Williams,43,Feminino,9.98,2,7.98,Illinois (IL)
2023-07-18,Refrigerante,Bebida,4.99,1,5,Rebecca Johnson,Norte,1,Balcão,Kristen French,48,Masculino,24.950000000000003,5,19.950000000000003,New York (NY)
2023-01-03,Milkshake,Sobremesa,10.99,5,6,Faith Harrison,Norte,4,Balcão,Andrew Hale,64,Feminino,65.94,30,35.94,New York (NY)
2022-07-02,Batata Frita,Acompanhamento,9.99,3,1,Jose Davis,Leste,13,Drive-Thru,Omar Anderson,49,Feminino,9.99,3,6.99,Florida (FL)
2023-05-05,Milkshake,Sobremesa,10.99,5,3,Douglas Roth,Leste,3,Drive-Thru,Stephen Nichols,66,Masculino,32.97,15,17.97,Florida (FL)
2022-10-05,Hambúrguer Duplo,Hambúrguer,19.99,10,1,George Ellis,Centro,5,Balcão,Debbie Collins,36,Masculino,19.99,10,9.989999999999998,Illinois (IL)
2022-11-14,Sundae,Sobremesa,7.99,3,5,Tamara Hall,Oeste,5,Balcão,Jessica Soto,42,Masculino,39.95,15,24.950000000000003,California (CA)
2022-04-13,Milkshake,Sobremesa,10.99,5,1,Raven Hernandez,Oeste,2,Balcão,Natasha Hammond,45,Feminino,10.99,5,5.99,California (CA)
2022-03-07,Hambúrguer Simples,Hambúrguer,14.99,7,1,Daniel Young,Leste,7,Balcão,Justin Turner,70,Feminino,14.99,7,7.99,Florida (FL)
2022-09-03,Batata Frita,Acompanhamento,9.99,3,6,Timothy Lewis,Oeste,9,Drive-Thru,John Miller,42,Feminino,59.94,18,41.94,California (CA)
2021-12-22,Hambúrguer Simples,Hambúrguer,14.99,7,1,Emily Odonnell,Norte,13,Balcão,Bryan Knight,64,Masculino,14.99,7,7.99,New York (NY)
2022-11-27,Hambúrguer Simples,Hambúrguer,14.99,7,9,Larry Harris,Oeste,10,Delivery,Cory Daniel,43,Feminino,134.91,63,71.91,California (CA)
2023-07-31,Milkshake,Sobremesa,10.99,5,7,Tiffany Aguirre,Sul,11,Delivery,Michael Berry,20,Masculino,76.93,35,41.93000000000001,Texas (TX)
2022-03-27,Refrigerante,Bebida,4.99,1,4,Scott Pearson,Norte,10,Balcão,Rita Phillips,28,Feminino,19.96,4,15.96,New York (NY)
2022-01-16,Sundae,Sobremesa,7.99,3,8,Zachary Rodriguez,Leste,3,Drive-Thru,Douglas Jones,67,Masculino,63.92,24,39.92,Florida (FL)
2023-09-24,Hambúrguer Duplo,Hambúrguer,19.99,10,10,Amy Pham,Leste,4,Delivery,Travis Taylor,29,Feminino,199.9,100,99.89999999999998,Florida (FL)
2023-06-02,Hambúrguer Simples,Hambúrguer,14.99,7,3,Robert Tran,Norte,13,Drive-Thru,Troy Collier,54,Masculino,44.97,21,23.97,New York (NY)
2023-04-23,Hambúrguer Simples,Hambúrguer,14.99,7,6,Crystal Jones,Sul,11,Drive-Thru,Jeffrey Carter,47,Feminino,89.94,42,47.94,Texas (TX)
